Month,Short-term Visitors arriving - Under 1 week,Short-term Visitors arriving - Over 1 and under 2 weeks,Short-term Visitors arriving - Over 2 weeks and under 1 month,Short-term Visitors arriving - Over 1 and under 2 months,Short-term Visitors arriving - Over 2 and under 3 months,Short-term Visitors arriving - Over 3 and under 6 months,Short-term Visitors arriving - Over 6 and under 12 months,Short-term Visitors arriving - Total,Short-term Visitors arriving - Convention/conference,Short-term Visitors arriving - Business,Short-term Visitors arriving - Visiting friends/relatives,Short-term Visitors arriving - Holiday,Short-term Visitors arriving - Employment,Short-term Visitors arriving - Education,Short-term Visitors arriving - Other & not stated,Short-term Visitors arriving - Total
Jan-04,115470,111310,77240,36610,15290,24620,39640,420170,4720,32090,74140,219160,12120,34900,43050,420170
Feb-04,128730,112240,82830,38370,14570,25720,52370,454820,12110,48190,77650,214100,10370,51970,40420,454820
Mar-04,139180,117970,84300,36380,12480,19840,22130,432280,13140,48990,86710,219250,8360,17260,38570,432280
Apr-04,120310,124980,84100,25150,12210,16760,19270,402790,10720,35170,89280,202580,8810,16430,39800,402790
May-04,127080,101300,52980,20140,9400,15300,15070,341260,12620,44770,60690,170280,9050,10100,33740,341260
Jun-04,118550,110190,67170,29720,12230,14360,15060,367280,10340,37700,68900,188380,9050,16420,36500,367280
Jul-04,114520,118890,114000,50540,14440,28170,26970,467550,15770,40460,86330,243270,6880,53030,21810,467550
Aug-04,131860,117050,89280,27030,7860,15710,14260,403060,17020,46310,74280,230090,6120,15700,13530,403060
Sep-04,125790,114530,77240,30010,10720,18260,16960,393510,18140,42450,87470,211980,6130,12210,15150,393510
Oct-04,145320,117150,92060,37160,15880,20520,19290,447380,16920,46970,92630,248800,7550,15900,18610,447380
Nov-04,167640,125390,90930,39150,16080,22880,15940,478020,17700,53560,96390,275280,7640,9850,17590,478020
Dec-04,140570,140610,176580,78130,19450,20970,15090,591390,7760,32710,176430,342970,7210,9300,15020,591390
Jan-05,141280,97530,90860,46520,17130,28310,35300,456920,14080,36900,90900,244920,8960,38530,22640,456920
Feb-05,153930,124400,92130,43770,14320,28640,41610,498780,11360,45200,94010,272700,6570,54010,14910,498780
Mar-05,166940,130110,112260,41340,13850,19060,18530,502090,15520,45330,118340,279410,8600,17710,17180,502090
Apr-05,140520,117160,77900,27190,12110,16380,15300,406580,13440,43470,90410,220530,6460,15380,16890,406580
May-05,136320,97660,61650,20910,9670,12390,12700,351290,14550,48170,70170,185280,6240,10460,16410,351290
Jun-05,136420,96060,72140,29850,13930,15080,13530,377010,10250,41850,81770,202910,7430,15830,16980,377010
Jul-05,133080,120830,117080,52190,15050,28720,30090,497040,16150,45170,90770,254200,9860,57580,23320,497040
Aug-05,148440,117270,98020,26010,8950,16140,14430,429260,22740,47890,76010,238680,11130,16270,16530,429260
Sep-05,138800,111740,80650,30490,12180,19230,18990,412070,18690,44640,89300,216190,10450,14670,18120,412070
Oct-05,156930,119890,96460,34870,15330,20580,17810,461870,16290,50010,92370,255060,13860,15130,19150,461870
Nov-05,173550,115340,89730,35300,16400,23860,16490,470670,22860,56410,95660,252280,11950,11400,20100,470670
Dec-05,145290,134840,180490,79230,21010,24140,14250,599250,6770,33740,185650,333520,14010,11140,14420,599250
Jan-06,138660,106310,92610,46460,19590,26060,31710,461400,6980,38710,89210,256660,14700,35310,19820,461400
Feb-06,151700,98140,92920,45120,16150,33600,47360,485000,14020,51440,90190,237060,12200,60850,19250,485000
Mar-06,169440,110910,101940,38550,13480,20630,18510,473440,13730,53620,103700,246760,12690,18180,24760,473440
Apr-06,142390,121320,95860,29010,13040,17220,16210,435040,12580,43620,107870,226260,12930,16100,15680,435040
May-06,138410,88290,59100,20550,9080,15340,12170,342940,14090,50290,67410,172090,12650,11250,15160,342940
Jun-06,132980,95160,73370,31860,14590,16130,15580,379660,16590,43670,82450,188360,12850,18070,17660,379660
Jul-06,122850,117860,109160,52050,15720,30540,30030,478190,19660,49440,88250,227630,14370,57840,21000,478190
